dp_e_1,dp_e_2,dp_e_3,dp_e_4,dp_e_5,dp_e_6,ddp_e_1,ddp_e_2,ddp_e_3,ddp_e_4,ddp_e_5,ddp_e_6,dp_e_1_kf,dp_e_2_kf,dp_e_3_kf,dp_e_4_kf,dp_e_5_kf,dp_e_6_kf,ddp_e_1_kf,ddp_e_2_kf,ddp_e_3_kf,ddp_e_4_kf,ddp_e_5_kf,ddp_e_6_kf,dddp_e_1_kf,dddp_e_2_kf,dddp_e_3_kf,dddp_e_4_kf,dddp_e_5_kf,dddp_e_6_kf,x_ref,y_ref,z_ref,dx_ref,dy_ref,dz_ref,ddx_ref,ddy_ref,ddz_ref,dddx_ref,dddy_ref,dddz_ref,x_des,y_des,z_des,dx_des,dy_des,dz_des,ddx_des,ddy_des,ddz_des
0.0,2.133333332151229e-06,4.266666665575514e-06,9.12181343459859e-07,-5.61695790639116e-06,9.612147865339676e-06,0.0,6.399999996453687e-05,0.0001279999999672654,2.7365506024164475e-05,-0.00016850873047599324,0.00028836445006740836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.156341,-0.5693429288888867,0.18487314222222423,0.0,2.133333332151229e-06,4.266666665575514e-06,0.0,6.399999996453687e-05,0.0001279999999672654,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,-4e-06,0.000576,0.00091,0.00039999999999999996,-0.0572,-0.0904
-4.7127049124938746e-07,2.4656327172016317e-06,6.218733110538718e-06,2.866240248848965e-05,-3.3358958070762774e-05,1.1163883461185269e-05,-1.4138074504402818e-05,9.96905451060157e-06,5.85619492379228e-05,0.000832507091299771,-0.000832259974126558,4.655233923140951e-05,-4.7127045556205477e-07,2.4654194018134245e-06,6.218306382000865e-06,2.8662309196647165e-05,-3.335839439458598e-05,1.1162922322951116e-05,-1.4136662549372546e-05,9.968066015640462e-06,5.855611492461899e-05,0.0008324239527060309,-0.0008321768758798244,4.6547722106789755e-05,-4.7065187502064883e-07,3.306834058594278e-07,1.9471418153720153e-06,2.771338286809798e-05,-2.770254711221838e-05,1.5443811967750656e-06,-0.156341,-0.5693427180049362,0.18487351065679206,0.0,6.326518516471443e-06,1.105303703514693e-05,0.0,0.00012579555552960642,0.00020359111108714245,0.0,0.0,0.0,-0.156341,-0.569334,0.18488799999999997,-0.0,4e-06,6e-06,0.00030000000000000003,-0.0423,-0.0669
-8.44356991523829e-07,-5.362024289885371e-06,-4.766610335349897e-06,4.8044142340516126e-05,-3.805852525497316e-05,-1.984291527625592e-05,-1.1192602829958619e-05,-0.00023482931536248107,-0.00032956054629457957,0.0005814522854723143,-0.00014098715161962587,-0.0009302038491270856,-8.443471511345627e-07,-5.36283609205869e-06,-4.767897663941023e-06,4.804330552850071e-05,-3.805622867233836e-05,-1.9846154453380332e-05,-1.119289806154409e-05,-0.0002348048961373163,-0.00032952182583245374,0.0005814774117183411,-0.0001410561888363684,-0.0009301064146693995,-2.7403965777049633e-07,-1.5931573512216122e-05,-2.383918226672202e-05,1.098031092945328e-05,1.8273528844445804e-05,-6.334318822917478e-05,-0.156341,-0.5693425683699513,0.18487377176379882,0.0,4.489049544709189e-06,7.833210203337752e-06,0.0,-5.5124069152867605e-05,-9.65948049542753e-05,0.0,0.0,0.0,-0.156341,-0.569343,0.18487299999999998,3e-06,-0.000419,-0.000663,-0.00030000000000000003,0.0413,0.0653
-7.537105603053787e-06,-5.6702010160006105e-06,-2.247980868888701e-06,6.49455833747177e-05,-5.021437256074155e-05,-2.999767016241797e-05,-0.00020078232194888432,-9.244716837703422e-06,7.555829341570738e-05,0.000507043696591128,-0.0003646748295588508,-0.0003046421321561554,-6.409318115146992e-06,-7.012435384536242e-06,-4.658377956752923e-06,6.538822830409108e-05,-4.8883148933089656e-05,-3.3720195714116025e-05,-0.00018733595310799062,-2.5280741381819436e-05,4.677073456076645e-05,0.0005123490557992081,-0.0003487709768262055,-0.00034915438857889547,-0.004475526147553777,0.005321200574550643,0.009557281150025857,-0.0017547489055560511,-0.005274869300947419,0.014751270591724616,-0.15634121333333334,-0.56934248408883,0.18487396729980293,-6.399999999991597e-06,2.5284336401772597e-06,5.866080123088461e-06,-0.00019199999999974793,-5.881847713595789e-05,-5.9013902407478724e-05,0.0,0.0,0.0,-0.156353,-0.569344,0.184874,0.0,-6e-06,-1e-05,-0.0,0.0033,0.0052
1.7717905100850118e-06,4.4514195064470315e-08,6.40122127187503e-06,8.088438242080032e-05,-8.384022523596991e-05,8.980396021192424e-06,0.00027926722382646375,0.00017144172502233586,0.00025947603293181685,0.00047816454134856753,-0.0010087749658182436,0.001169342622206531,-6.88692759986748e-07,-1.503168441805666e-06,4.458523818048267e-06,8.121212566672539e-05,-7.9538284302889e-05,-1.102458778010174e-06,0.0002354298772236108,0.0001700870325429699,0.00026704948380639165,0.00047642756511792064,-0.0009743436184078181,0.001096339054676244,0.010046165721100992,0.005778074305374529,0.007061532124032101,-0.0011816975291543787,-0.01669376556553138,0.03896765424841128,-0.1563413659851852,-0.5693422714544285,0.18487436016309833,-4.579555555543161e-06,6.379032045463381e-06,1.1785898862015642e-05,5.4613333333453085e-05,0.00011551795215858363,0.00017759456216781544,0.0,0.0,0.0,-0.156341,-0.569334,0.18488799999999997,-0.0,2.7e-05,4.2e-05,0.0007,-0.0973,-0.1539
5.638185269167989e-07,-7.140587185036763e-06,-4.397634611505287e-06,8.860425066388447e-05,-7.721858808036871e-05,-2.165250572814641e-05,-3.623864675528674e-05,-0.00021555228819513522,-0.00032396620537228615,0.00023159515208682514,0.00019864796688136207,-0.0009189875110660738,1.1810080949504871e-06,-5.461831684657767e-06,-1.648415353255999e-06,9.020326020626284e-05,-8.248449802875613e-05,-1.3703283364269882e-05,5.2182352749790325e-05,-0.00013127561047725315,-0.00020352741829817117,0.00026152025727429443,-5.340900777597033e-05,-0.0004359186027646112,0.001704394361152722,-0.0021750009422953475,-0.004304845927646354,-0.004007790877753124,0.007093021269723415,-0.00661539346272403,-0.15634147142347327,-0.5693421284744553,0.18487462408217098,-3.1631486419640226e-06,4.289399195182379e-06,7.917572179690542e-06,4.249220740737414e-05,-6.268898550843005e-05,-0.000116049800469753,0.0,0.0,0.0,-0.156341,-0.569343,0.18487299999999998,7e-06,-0.000946,-0.001497,-0.0007,0.0972,0.1538
-3.158500494145815e-07,-4.280292808989598e-06,1.95254696503191e-06,9.74144586762049e-05,-9.171174521870317e-05,-9.7794622118489e-06,-2.6389711024441372e-05,8.58094993474746e-05,0.0001905047212848365,0.0002643066867748386,-0.00043479414689604346,0.00035619170938447386,3.973062536203374e-07,-4.976326736029655e-06,5.776024331561505e-07,9.802399255112405e-05,-9.138496631039982e-05,-1.1632242657056371e-05,-3.0516354553967258e-06,3.587588137970974e-05,9.781951470339662e-05,0.00024077459141091603,-0.00032824288515846407,0.00018157356858308283,0.00010698013511896702,0.0012414811004667677,0.002036851207770512,-0.002399192886130331,-0.00019543928449876173,0.005331146231761617,-0.15634154036402276,-0.5693419680051514,0.18487493097247457,-2.0682164850368175e-06,4.814079119282629e-06,9.206709107238234e-06,3.2847964707816146e-05,1.5740397723007504e-05,3.867410782643077e-05,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,-0.0,2.6e-05,4.1e-05,1.66,0.1139,-0.052099999999999994
-9.460787695069969e-07,-2.1479206132582234e-06,5.076242154044777e-06,0.00010345253394108404,-0.00010061955713498214,-2.740117470158686e-06,-1.890645604390335e-05,6.397200571498396e-05,9.370990308511654e-05,0.00018114229763868255,-0.0002672346127688794,0.00021118031256563854,-5.715094475423406e-07,-2.5910116640350564e-06,4.58386944862056e-06,0.00010406257350115678,-0.00010088855520671228,-3.6227450619068343e-06,-1.4519972750770678e-05,6.69844784245168e-05,0.00011000416296440328,0.00017653154050395,-0.0002825026636655602,0.0002446919724241046,-4.950753568377911e-05,0.0011346787079876096,0.0014573493612598455,-0.0022356609399277467,0.0003482617706232103,0.004139187343943167,-0.1563415813139542,-0.5693417086742368,0.18487538836363096,-1.2284979435654233e-06,7.779927434844088e-06,1.3721734692184739e-05,2.5191556244141822e-05,8.897544946684377e-05,0.00013545076754839513,0.0,0.0,0.0,-0.156341,-0.569334,0.18488799999999997,0.0166,0.001165,-0.00048,-1.66,-0.11720000000000001,0.0469
-1.3877927402302109e-06,-6.464832117146377e-06,-8.562794312489694e-07,0.00010599481364902007,-9.539650728479171e-05,-1.9944075809883223e-05,-1.3250967053375824e-05,-0.00012950601983162524,-0.00017797696035948038,7.626761184162032e-05,0.00015669050148230514,-0.0005161191928443471,-1.254039736977337e-06,-5.2895277952482764e-06,9.234243463640331e-07,0.00010687599163001115,-9.846562259644887e-05,-1.5078763649376788e-05,-1.3998304083896007e-05,-6.970724468078258e-05,-9.20854534431276e-05,8.282542907005053e-05,4.7581613920784534e-05,-0.0002867471445973805,-3.093178905879016e-05,-0.00036010161706335445,-0.0006897317291459639,-0.0024001193729231455,0.003076295037182755,-0.0015946421015424076,-0.15634160100943365,-0.5693414703440243,0.18487582354623666,-5.908643830506328e-07,7.149906378482266e-06,1.3055478171090466e-05,1.9129006815443717e-05,-1.8900631690854652e-05,-1.9987695632828206e-05,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,0.0,-7e-06,-1.1e-05,-9.999999999999999e-05,0.007599999999999999,0.012
-8.087909735522341e-06,-6.768777009390142e-06,-4.560691218251599e-07,0.00010780484519788913,-9.163763707066573e-05,-3.106858083952982e-05,-0.00020100307546437008,-9.116898859725846e-06,1.200481090554512e-05,5.430095914381792e-05,0.00011276630437956285,-0.000333735060211058,-6.705363650868608e-06,-6.760821227165715e-06,-5.356551199956035e-07,0.00010828361546227586,-9.31957780580371e-05,-2.8916710258306984e-05,-0.00014873584554537253,-2.9527137096476502e-05,-2.3723623710300587e-05,3.982019079068927e-05,0.00012329270650825066,-0.0003355004713238513,-0.0009566796625172906,1.1113919631396086e-06,-5.7373409202806725e-05,-0.0021440939934031953,0.002890823794878454,-0.001564535261158084,-0.1563418181015064,-0.5693412694290857,0.18487623470599218,-6.512762182960447e-06,6.027448157179075e-06,1.2334792665906018e-05,-0.00017765693399729443,-3.3673746639095725e-05,-2.1620565155533455e-05,0.0,0.0,0.0,-0.156353,-0.56934,0.184881,-1e-06,6.9e-05,0.000109,-9.999999999999999e-05,0.015000000000000001,0.023700000000000002
